Angle,Inner_R,Outer_R,Distance
0,145.0,264.030301291348,119.030301291348
1,145.03103116229988,264.15336454416024,119.12233338186036
2,145.1240848377691,264.31988196123274,119.19579712346365
3,145.2205219657332,264.61292485439935,119.39240288866614
4,145.41664278891878,264.8339102154405,119.4172674265217
5,145.58159224297555,264.3822989536175,118.80070671064198
6,144.88616221019868,264.9396157617807,120.05345355158204
7,145.12063946937388,264.4617174564213,119.34107798704741
8,145.52319402761884,264.8867682614592,119.36357423384038
9,145.0,264.85090145211893,119.85090145211893
10,145.34441853748632,264.76404589747455,119.41962735998823
11,145.13442045221387,264.95471311150516,119.82029265929128
12,145.34441853748632,264.9849052304678,119.64048669298148
13,145.27904184706065,264.8848806557294,119.60583880866872
14,145.52319402761884,264.8773300982929,119.35413607067403
15,145.33065746772084,264.9698096010185,119.63915213329764
16,145.2067491544384,265.1263849563072,119.91963580186882
17,144.84474446799925,265.04716561397146,120.20242114597221
18,144.51643505151932,265.0056603169072,120.48922526538789
19,144.22205101855957,265.03584663211126,120.81379561355169
20,143.96180048887967,265.2168923730161,121.25509188413642
21,143.17122615944868,265.1735280905694,122.00230193112071
22,143.0,265.0018867857359,122.0018867857359
23,141.94717327231282,265.23951440160647,123.29234112929365
24,140.9432509913121,265.41476974727686,124.47151875596475
25,139.98928530426892,265.27155897306443,125.28227366879551
26,139.08630414242805,265.2036952985384,126.11739115611033
27,138.6542462386205,258.5033848907979,119.84913865217743
28,137.82960494755835,257.2353008434107,119.40569589585235
29,137.43725841270262,250.79872407968904,113.36146566698642
30,137.20058308913997,250.92827660508888,113.72769351594891
31,137.37903770226373,250.9123352886422,113.53329758637847
32,137.05838172107534,250.79872407968904,113.7403423586137
33,137.2953021774598,251.0019920239678,113.706689846508
34,137.3062270984095,251.02390324429265,113.71767614588316
35,137.05838172107534,250.63519305955418,113.57681133847885
36,137.20058308913997,250.80071770232237,113.6001346131824
37,136.82105101189657,250.60127693210185,113.78022592020528
38,81.05553651663777,250.6671099286861,169.61157341204833
39,79.51100552753688,250.69702830308938,171.1860227755525
40,78.74642849044012,250.44959572736389,171.70316723692378
41,79.30952023559341,250.13796193301008,170.82844169741668
42,79.2464510246358,250.63918289046507,171.39273186582926
43,79.20858539325141,250.4156544627352,171.2070690694838
44,79.90619500389191,250.3517525403008,170.4455575364089
45,79.19595949289332,249.6177077052027,170.42174821230935
46,79.20858539325141,249.0461804565571,169.83759506330568
47,79.2464510246358,252.05158202241066,172.80513099777485
48,143.0873858870865,257.2877766237642,114.20039073667772
49,143.93401265857906,262.60616900598507,118.672156347406
50,144.1700384962146,265.81948762270986,121.64944912649526
51,144.46106741956464,269.2582403567252,124.79717293716055
52,144.01388821915754,274.8035662068453,130.78967798768775
53,143.80890097626084,280.6314308839977,136.82252990773688
54,144.03124660989366,286.32324390450736,142.2919972946137
55,143.95138068111746,293.1637767528587,149.21239607174127
56,144.22205101855957,298.9916386790774,154.76958766051786
57,144.26711336961034,306.86967917994116,162.60256581033082
58,143.54441821262157,316.24357700987383,172.69915879725227
59,143.38758663147937,323.4872485894923,180.09966195801294
60,143.75673897247393,333.9281359813815,190.17139700890758
61,143.65583872575453,342.23529917295207,198.57946044719753
62,143.58969322343438,353.75980551781174,210.17011229437736
63,143.55835050598765,364.9438312946254,221.38548078863775
64,143.60013927569847,375.3411781299782,231.7410388542797
65,143.17821063276352,380.78471607983425,237.60650544707073
66,125.00399993600205,265.6332057556058,140.62920581960373
67,124.61540835707277,265.7705777545739,141.1551693975011
68,124.78781991845197,265.36390108679063,140.57608116833865
69,124.65151423067431,265.5729654915952,140.9214512609209
70,124.91997438360288,265.70660511172844,140.78663072812554
71,124.59534501738017,265.32432983049256,140.7289848131124
72,124.61942063739504,265.70660511172844,141.0871844743334
73,124.32618388738553,265.5202440493003,141.19406016191476
74,124.45481107614924,265.39781461044475,140.9430035342955
75,124.90796611905904,265.33940529065785,140.4314391715988
76,124.42668524074729,265.58049627184596,141.15381103109866
77,124.73972903610141,265.41476974727686,140.67504071117546
78,124.33824833895642,265.34694269955327,141.00869436059685
79,123.96773773849388,265.37709019431196,141.40935245581807
80,123.62847568420473,265.02264054227516,141.39416485807044
81,124.31009613060397,265.1886121235224,140.8785159929184
82,124.16923934694937,265.31867631209076,141.14943696514138
83,124.78781991845197,264.9396157617807,140.15179584332873
84,124.4869471069156,265.18107021429716,140.69412310738159
85,124.32618388738553,265.0,140.67381611261447
86,119.20570456148481,264.61292485439935,145.40722029291453
87,119.10499569707393,264.31988196123274,145.2148862641588
88,124.03628501370073,265.1527861441399,141.11650113043916
89,124.00403219250575,265.03018695990085,141.0261547673951
90,124.0,265.03018695990085,141.03018695990085
91,124.03628501370073,265.06791582535976,141.03163081165903
92,123.14625451064275,264.31988196123274,141.17362745059
93,123.1990259701756,264.61292485439935,141.41389888422376
94,123.3288287465668,265.0,141.67117125343322
95,122.494897852931,264.3822989536175,141.88740110068653
96,122.6906679417795,264.70549673174526,142.01482878996575
97,122.9186723000212,264.4617174564213,141.5430451564001
98,122.3315167894194,264.7413832403238,142.4098664509044
99,122.64175471673585,264.6828290615015,142.04107434476563
100,122.98373876248843,264.5770209220748,141.59328215958635
101,122.37646832622684,264.5694615786183,142.19299325239146
102,122.78436382536663,264.43902888945877,141.65466506409214
103,122.24974437601087,264.372842780797,142.1230984047861
104,122.00409829181969,264.3709515056448,142.36685321382515
105,121.56479753612885,264.43335644354704,142.8685589074182
106,121.8400590938793,264.45793616376875,142.61787706988946
107,120.8056290079233,264.09278672466615,143.28715771674285
108,120.16655108639841,264.0549185302179,143.88836744381948
109,119.54078801814885,264.09278672466615,144.5519987065173
110,119.61605243444544,264.2820463065927,144.66599387214725
111,119.4026800369238,264.43335644354704,145.03067640662323
112,118.30891766895681,264.2460974167831,145.93717974782626
113,116.86744627996283,264.31988196123274,147.4524356812699
114,116.36150566231085,264.50330810785715,148.14180244554632
115,115.39497389401325,264.3671689147501,148.97219502073685
116,114.93476410555685,263.86549603917524,148.9307319336184
117,114.06138698087096,259.3935234349539,145.33213645408296
118,113.64858116140297,249.1766441703556,135.5280630089526
119,112.8716084761797,249.06224121692955,136.19063274074983
120,112.50777750893491,249.20072231034965,136.69294480141474
121,111.83022847155415,249.2087478400387,137.37851936848455
122,111.51681487560519,249.11041728518703,137.59360240958182
123,111.77208953938367,249.06424873915566,137.292159199772
124,111.50336317797773,249.07027120874943,137.56690803077169
125,111.83022847155415,248.8875247978492,137.05729632629505
126,110.80162453682708,249.0180716333656,138.2164470965385
127,110.60289327137876,249.00803199896987,138.40513872759112
128,111.8257573191436,248.9417602572939,137.1160029381503
129,113.70136322841516,248.79308672067236,135.0917234922572
130,114.21471008587291,249.04015740438328,134.82544731851038
131,115.43396380615195,248.7267577081324,133.29279390198045
132,116.04309544302927,249.22680433693324,133.18370889390397
133,116.69190203266035,249.0461804565571,132.35427842389674
134,117.38824472663352,248.93774322107123,131.54949849443773
135,117.37972567696688,248.93774322107123,131.55801754410436
136,118.10588469674151,249.0461804565571,130.94029575981557
137,118.86967653695369,248.4854120466632,129.6157355097095
138,119.00420160649792,248.7267577081324,129.7225561016345
139,119.20570456148481,248.92770034690795,129.72199578542313
140,117.29023829799307,248.79308672067236,131.50284842267928
141,116.66190466471906,262.8554735971842,146.19356893246513
142,214.2008403344861,263.0304164920856,48.82957615759949
143,133.80956617521784,263.21094202179364,129.4013758465758
144,132.6386067478093,263.0684321616716,130.4298254138623
145,132.87964479181903,262.9752840097335,130.09563921791448
146,131.46862743635836,262.9372548727167,131.46862743635836
147,131.2288078129189,262.9923953273174,131.76358751439852
148,130.6981254647518,262.90872941003687,132.21060394528507
149,130.51053597315428,262.73941462978104,132.22887865662676
150,130.73637596323374,262.8345487183905,132.09817275515678
151,130.64838307457157,262.73370548903694,132.08532241446537
152,130.59862173851607,262.58903252040056,131.9904107818845
153,130.14222988715076,262.5204753919206,132.37824550476986
154,130.61393493804556,262.5280937347468,131.91415879670123
155,130.6789960169575,262.1907702418222,131.51177422486467
156,130.78226179417453,262.36615635405417,131.58389455987964
157,130.5450113945378,261.8472837361503,131.3022723416125
158,130.74020039758238,262.01717500957835,131.27697461199597
159,130.97327971765844,262.0572456544562,131.08396593679777
160,130.6330739131557,261.87401551127596,131.24094159812026
161,125.22779244241272,261.84346468835156,136.61567224593884
162,123.96773773849388,261.5893728728291,137.62163513433518
163,123.36936410632909,261.6811036357039,138.3117395293748
164,123.22743201089601,261.8110005328271,138.5835685219311
165,123.69316876852982,261.721225734559,138.02805696602923
166,123.45444503945575,261.69638897011936,138.2419439306636
167,123.97580409095961,261.51290599127225,137.53710190031262
168,124.33824833895642,261.4287665885298,137.0905182495734
169,123.96773773849388,261.444066675838,137.47632893734408
170,123.79418403139947,261.3962509295036,137.6020668981041
171,122.3315167894194,261.0823624835657,138.7508456941463
172,123.17873193047572,261.22212769977966,138.04339576930394
173,123.68508398347798,260.84861510078986,137.1635311173119
174,123.58397954427588,260.4035330021465,136.81955345787063
175,126.4792473095883,258.93628559937287,132.45703828978458
176,130.18832512940628,241.53053637169774,111.34221124229146
177,130.09611831257686,241.29857024027308,111.20245192769622
178,130.06152390311286,241.13274352522097,111.07121962210812
179,130.00384609695206,241.03319273494262,111.02934663799056
180,130.0,241.03319273494262,111.03319273494262
181,131.03434664239754,241.13274352522097,110.09839688282344
182,132.09466302617983,240.29981273400944,108.2051497078296
183,135.2368293032634,240.53274205396653,105.29591275070314
184,135.36986370680884,240.8318915758459,105.46202786903706
185,135.5322839769182,241.00622398602076,105.47394000910256
186,134.8369385591352,240.75298544358697,105.91604688445176
187,130.11533345459327,241.13274352522097,111.0174100706277
188,129.55307792561317,240.85887984460942,111.30580191899625
189,129.71121771072848,259.9249891795708,130.2137714688423
190,130.04999038831184,260.2786967848118,130.22870639649997
191,129.634100452003,260.049995193232,130.415894741229
192,129.83836104942176,260.0999807766237,130.26161972720192
193,129.52219886953742,260.0173071162764,130.495108246739
194,130.0,260.0,130.0
195,129.5414991421668,260.0480724789169,130.50657333675008
196,130.080744155313,260.049995193232,129.969251037919
197,129.6919426949878,259.67864756271354,129.98670486772573
198,129.65338406690356,259.9423012901132,130.28891722320967
199,129.3560976529518,259.65554105391243,130.29944340096063
200,130.97327971765844,260.06922155457,129.09594183691155
201,133.33041663476493,259.4166532819356,126.0862366471707
202,133.15404612703287,259.61702563583924,126.46297950880637
203,132.61975720080324,259.7306296916095,127.11087249080629
204,132.00378782444085,259.6247291765559,127.62094135211504
205,131.04579352272242,259.89613309935953,128.8503395766371
206,127.90621564255585,259.83456275099354,131.9283471084377
207,124.35433245367851,259.42243542145695,135.06810296777843
208,123.94353553130554,258.58847615468096,134.64494062337542
209,123.1665539016173,247.09512338368802,123.92856948207071
210,122.80065146407001,246.46500765828807,123.66435619421806
211,122.11470017978998,246.45689278249046,124.34219260270048
212,120.95040305844375,246.5866987491418,125.63629569069803
213,120.37026210821342,246.56439321199645,126.19413110378302
214,119.28118040998756,246.34325645326686,127.0620760432793
215,119.03780911962384,246.0995733437992,127.06176422417535
216,118.81077392223317,246.4000811688178,127.58930724658462
217,173.83325343558406,246.2051989702898,72.37194553470576
218,173.6663467687393,246.28844877500853,72.62210200626924
219,174.0028735394907,246.34325645326686,72.34038291377615
220,173.87639287723908,246.22144504490262,72.34505216766354
221,174.22973339817747,245.9044529893674,71.67471959118993
222,125.25573839150046,246.272207120495,121.01646872899455
223,124.48293055676348,246.82990094394967,122.34697038718619
224,123.76186811776881,249.6096953245206,125.84782720675179
225,124.45079348883236,254.5937941113255,130.14300062249316
226,125.89678312014172,258.940147524481,133.0433644043393
227,126.66885963013956,262.68041419184647,136.0115545617069
228,127.47548783981962,267.9178978717174,140.4424100318978
229,131.13733259449805,273.23433166423285,142.0969990697348
230,131.36590120727678,277.9946042641835,146.62870305690674
231,132.2800060477773,277.36618395182927,145.08617790405197
232,132.61221663180206,246.2051989702898,113.59298233848776
233,133.00375934536586,258.42793966597344,125.42418032060758
234,134.03357788255897,259.12352266824405,125.08994478568508
235,133.13526955694348,294.2872746144488,161.1520050575053
236,130.6330739131557,292.60553651631403,161.97246260315833
237,130.38404810405297,259.0829982843336,128.69895018028063
238,130.6981254647518,259.16982849089516,128.47170302614336
239,130.86252328302402,259.1389588618431,128.27643557881908
240,130.73637596323374,258.8609665438187,128.12459058058494
241,131.12589370524802,259.1408883213917,128.01499461614367
242,131.06105447462264,259.0019304947359,127.94087602011328
243,131.03434664239754,258.940147524481,127.90580088208347
244,131.04579352272242,258.9922778771599,127.94648435443747
245,131.0953851209111,259.12352266824405,128.02813754733296
246,131.18307817702708,259.21805492673536,128.03497674970828
247,130.92364186807515,259.2373429890069,128.31370112093174
248,131.10301293257908,259.04825805243314,127.94524511985406
249,131.3202193114221,258.897663179875,127.57744386845289
250,131.5750736271882,259.0463279029448,127.47125427575662
251,131.55227098001768,259.0,127.44772901998232
252,122.41323457861898,259.02316498722655,136.60993040860757
253,118.68024266911489,259.2006944435142,140.5204517743993
254,118.1397477566293,259.0829982843336,140.9432505277043
255,117.881296226331,259.0308861892728,141.14958996294177
256,122.48265183282079,259.04439773907484,136.56174590625403
257,126.90547663517127,258.58847615468096,131.68299951950968
258,126.49505919204908,257.51310646256434,131.01804727051524
259,126.30122723077555,257.51310646256434,131.21187923178877
260,126.58988901172162,255.8124312851117,129.22254227339008
261,127.27922061357856,250.05999280172747,122.78077218814892
262,127.01181047445942,238.29603437741048,111.28422390295106
263,126.8897158953396,237.65521244020718,110.76549654486757
264,127.56566936288148,237.2172000509238,109.65153068804231
265,127.3184982632139,236.8459414893994,109.5274432261855
266,127.1927670899568,236.5417510715603,109.3489839816035
267,127.09838708654017,237.21087664776252,110.11248956122235
268,127.03542812932147,237.1349826575573,110.09955452823581
269,127.00393694685216,237.03375287076733,110.02981592391517
270,127.0,238.03361107205006,111.03361107205006
271,127.03542812932147,238.1344158243407,111.09898769501922
272,127.09838708654017,253.33377192944488,126.23538484290471
273,127.1927670899568,257.5616431070434,130.36887601708656
274,127.3184982632139,257.9399154842073,130.6214172209934
275,128.56126943990557,258.4143958838207,129.85312644391513
276,128.76334882255898,258.8628980754098,130.09954925285084
277,128.00390619039717,259.50915205441214,131.50524586401497
278,136.33048081775402,260.09421369957465,123.76373288182063
279,136.7808466123821,259.9249891795708,123.14414256718868
280,139.26234236145822,260.0999807766237,120.83763841516546
281,139.6352391053204,260.049995193232,120.4147560879116
282,139.48835076808385,260.0999807766237,120.61163000853983
283,139.71399357258383,260.2498799231231,120.53588635053927
284,139.71757226634023,260.24795868555816,120.53038641921793
285,137.0875632579411,260.3113520382851,123.22378878034402
286,137.3608386695422,260.4400122868988,123.07917361735662
287,138.2208377922808,260.5839595984373,122.36312180615647
288,140.089257261219,260.5724467398654,120.48318947864644
289,136.01470508735443,260.66453537065604,124.64983028330161
290,135.41787178950938,260.4169733331528,124.9991015436434
291,135.19245541079576,260.71632093139084,125.52386552059508
292,135.00370365289984,260.5417432965397,125.53803964363988
293,134.8517704741024,260.64727123068064,125.79550075657824
294,134.23859355639868,260.9463546401827,126.70776108378399
295,134.18271125595876,261.2278698760911,127.04515862013236
296,133.27040181525678,261.17618574441275,127.90578392915597
297,132.83448347473634,261.2374398894615,128.40295641472514
298,132.48396129343357,408.14213210596137,275.6581708125278
299,131.2288078129189,403.7635446644484,272.5347368515295
300,130.51053597315428,389.3507416199435,258.84020564678923
301,130.17296186228538,375.9255245391034,245.752562676818
302,128.70120434556935,363.4735203560226,234.77231601045327
303,128.41339493993607,354.2005081871001,225.78711324716406
304,127.88275880665071,342.81190177705327,214.92914297040255
305,126.82665335015349,334.5743564590687,207.74770310891523
306,126.40015822774906,324.2298567374695,197.82969850972046
307,126.21014222319853,315.6010139400696,189.39087171687106
308,126.65701717630967,306.27112172060885,179.61410454429918
309,126.50691680694776,300.0166662037294,173.50974939678167
310,126.90547663517127,292.43802762294786,165.53255098777657
311,127.47548783981962,286.35642126552705,158.88093342570744
312,128.14444974324874,280.3711825420009,152.22673279875215
313,130.17680284904833,273.80467490530543,143.6278720562571
314,133.6600164596728,268.73406929527937,135.07405283560658
315,135.05924625881784,263.751777245197,128.69253098637915
316,137.20787149431334,258.14143410154054,120.9335626072272
317,137.97463535012514,254.01771591761076,116.04308056748562
318,138.85243966167826,249.47945807220282,110.62701841052456
319,139.70325694127536,249.68780506864968,109.98454812737432
320,140.5844941663198,249.42533953069002,108.84084536437024
321,140.86873322352267,249.7218452598811,108.85311203635843
322,141.20906486483082,249.8039231077046,108.59485824287378
323,141.40014144264495,260.41505332833583,119.01491188569088
324,141.8238343861849,262.7279962242319,120.904161838047
325,141.1736519326464,262.9752840097335,121.8016320770871
326,141.4496376806954,263.20524310887123,121.75560542817584
327,142.04224723651762,263.3040068058213,121.26175956930368
328,143.20963654726592,263.09694030908076,119.88730376181485
329,142.52368224263643,263.4539808012018,120.93029855856537
330,142.0211251891774,746.8185857355185,604.7974605463411
331,144.05901568454507,738.5661784836888,594.5071627991437
332,143.1258187749506,753.1301348372671,610.0043160623164
333,143.10835055998655,773.2696812884881,630.1613307285015
334,143.60013927569847,791.7701686727027,648.1700293970042
335,143.67324037551322,263.592488512097,119.9192481365838
336,143.7810835958611,263.68541863364385,119.90433503778274
337,143.38758663147937,263.69679558159214,120.30920895011278
338,143.7358688706476,263.8730755495907,120.13720667894307
339,143.96180048887967,263.5773131360133,119.61551264713361
340,143.8923208513922,263.82570003697515,119.93337918558294
341,144.20124826089406,263.73471519691907,119.53346693602501
342,143.8923208513922,263.7953752437673,119.90305439237508
343,144.2497833620557,263.8825496314601,119.63276626940441
344,144.10065926289164,264.0075756488817,119.90691638599006
345,144.30869689661813,263.9109698364204,119.60227293980228
346,144.81022063376605,264.14011433328335,119.3298936995173
347,144.3675863897433,264.2214979898494,119.8539116001061
348,144.734239211045,264.1685068285014,119.43426761745638
349,144.3606594609487,264.21392847463585,119.85326901368714
350,144.01388821915754,264.35771220072246,120.34382398156492
351,144.68241081762497,264.20068130116545,119.51827048354048
352,145.12063946937388,264.4617174564213,119.34107798704741
353,144.88616221019868,263.9469643697385,119.06080215953983
354,144.5856147754679,264.3822989536175,119.79668417814963
355,145.41664278891878,264.003787851614,118.58714506269521
356,145.2205219657332,264.61292485439935,119.39240288866614
357,145.1240848377691,264.31988196123274,119.19579712346365
358,145.03103116229988,264.15336454416024,119.12233338186036
359,145.00344823486094,264.030301291348,119.02685305648706
